process_id,process_name,step_1,step_2,step_3
3_32,Find the Flashlight on an iPhone - Using Control Center,Open Control Center, Tap the flashlight icon, Tap the flashlight icon again
3_33,Make Chocolate Babka - Making the Filling,Preheat the oven and grease a pan," Combine the chocolate, cocoa, butter, sugar, cinnamon, and salt in a heatproof bowl", Heat the mixture in a double boiler
3_34,Give a Thumbs Up for an Edit on wikiHow - Giving Someone a Thumbs Up in Recent Changes Patrol,Go to Recent Changes Patrol," Press the ""Thumbs Up"" button if it was a good contribution, and mark the edit as patrolled",
3_35,Sharpen a Swiss Army Knife - Finishing Up,Dry the blade, Strop the blade, Check the sharpness
3_36,Quickly Make an Alcoholic Party Punch - Classic Sangria,Gather Supplies, Mix the ingredients, Chill in a carafe or large pitcher and serve
3_37,Print Wirelessly from an iPad with HP Eprint App - Linking a Printer,Turn on the printer, Search for a printer, Select a printer
3_38,Row on a Rowing Machine - Completing the Movement,Practice arm isolations, Extend your arms while reaching your torso forward, Bend your knees to return to the starting position
3_39,Use an Analog Watch as a Compass - In the Northern Hemisphere,Hold the watch horizontally, Point the hour hand in the direction of the sun, Bisect the angle between the hour hand and the 12 o'clock mark to find South
3_40,Do a Pour Painting - Finishing Your Painting,Store the painting so it's completely level, Let the painting dry for 2-3 days, Seal the canvas to protect the paint
3_41,Lower a Varidesk - Using a Push-Button Electric Model,Locate the toggle switch in the center of the ProPlus 36 Electric, Press on the bottom third of the toggle switch to lower the desk, Let go of the button when the desk is lowered to your liking
3_42,Connect a HyperX Cloud Headset - Connecting to Mobile Device,Connect the headset to the control box, Connect the control box to the splitter cable," Connect the splitter cable to the phone, tablet, or laptop"
3_43,Hack Lanschool - Using LinuxLive USB,Burn a Linux ISO to a USB flash drive," After having inserted the flash drive, restart the computer you want to bypass LanSchool on"," Choose options to boot Linux live, avoiding any options to install"
