process_id,process_name,step_1,step_2,step_3,step_4
4_42,Delete Bookmarks - Firefox,Open the Bookmarks sidebar, Expand the categories to see your bookmarks," Right-click on a bookmark and select ""Delete"" to remove it", Open the Library to manage your bookmarks
4_43,Keep a Pet Rat Clean - Massaging a Hairless Rat,Fill the sink with an inch of warm water, Squirt pure castile soap onto a washcloth and soak in the sink, Massage your hairless rat, Rinse the washcloth and your rat
4_44,Grow Taro - Growing Shoots on Tubers,Purchase your tubers from a seed supplier or exotic market," Choose healthy-looking, large tubers for planting", Place the bottom half of the tuber in sandy soil so shoots start to form, Wait a few weeks for the shoots to develop
4_45,Use Massage for Neck Pain - Giving Yourself a Massage,Start under your ears, Focus on the neck and shoulders, Massage pressure points, Massage trigger points
4_46,Get a Federal Explosives License - Submitting a Complete Application,Have the forms signed, Pay the fee, Mail the application, Receive a response
4_47,Repair Torn Leather - Filling the Seam in the Tear,Scoop some leather filler up in your palette knife, Apply filler to the seam in the tear using the side of the palette knife, Wait 24 hours to give the glue and filler time to dry, Apply additional filler as needed to make the seam flush
4_48,Sign Up for a US Trusted Traveler Program - Signing up for NEXUS,Consider NEXUS if you're a frequent traveler to Canada, Submit your application, Attend your appointment, Wait for your card
4_49,Make Arroz Con Gandules Quickly,Gather all the ingredients you will need," Bring all to a boil 2 cans of Gandules (drain water) add into boiling seasoned water Olives (pitted) not necessary but they taste terrific Make sure you wash your rice Add washed rice to boiling pot of seasoned water, and beans Keep on high flame until water is evaporated Rice may still be wet inside however once you hear sizzling and the rice is dry on the top turn the flame to low", Turn the rice in the pot (meaning move dry rice to bottom and wet rice to top) build kind of like a pyramid of rice in the center of your pot Once you have turned rice get a large piece of foil and cover rice on low flame and cook till rice is soft Serve the rice, Finished
4_50,Make a Garden Flag - Hanging Your Garden Flag,Choose a sheltered location for your flag, Slip the flag onto the horizontal flagpole, Prevent the flag from twisting and turning by weighing it down, Consider concreting the flagpole into place
4_51,Manage a Disciplinary Meeting - Calling a Disciplinary Meeting,Conduct an investigation into the incident, Keep the employee informed of the investigation," Schedule a date, time, and location for the meeting", Give the employee written notice of the meeting
4_52,Block a Website with an Internet Filter - Block Website with Internet Filter,"Bring up Aobo Filter with HotKey ""ALT+SHIFT+F1"" Click the green ""+"" button to add any keyword to the ""Black List"", then choose the number of ""Amount of Keywords detected to trigger filtering"""," Or you can just easily click the green ""+"" button to add a specified URL"," Go to the browser, try to open the websites you add to the Black List, they are blocked"," To set up a strict Internet surfing limit, you could choose ""Block All Websites Except the ones in White List"""
4_53,Report International Fraud - Reporting International Scams to EConsumer,Visit their website, Choose your complaint subject, Complete a complaint," Update your complaint, if necessary"
4_54,Apply Serum to Your Hair - Using the Right Amount of Serum,Gently blot a couple of drops of serum into your soaking wet hair, Style your hair normally, Squirt a small amount of serum in your hand, Rub the serum in your palms well
4_55,Make a Concept Map - The Spider Concept Map,Write the main topic in the center, Write the subtopics around the main topic, Write the supporting topics around their the subtopics, Keep going (optional)
4_56,Make Fluffy Pancakes - Mixing the Dry Pancake Mix,Gather your ingredients and supplies, Use fresh baking soda, Combine the dry ingredients, Store leftovers
4_57,Make Slow Cooker Glazed Carrots - Whipping Up Slow Cooker Brown Sugar Glazed Carrots,Grease the slow cooker," Combine the carrots, salt, brown, sugar, and butter in the slow cooker", Cook the mixture on high for 4 to 5 hours, Transfer the carrots to a serving bowl and garnish them with the parsley
4_58,Act on a Movie Date at Your Boyfriend's House - Making A Good First Impression,Gather information about family members, Dress appropriately for the occasion, Bring some snacks or a small gift, Greet your boyfriend and his family
4_59,"Decorate a Fondant Cake - Using Buttercream, Royal Icing, and Other Embellishments",Pipe buttercream onto the fondant cake, Use royal icing to make delicate decorations, Use a stencil to apply detailed royal icing designs, Decorate the fondant cake with fresh flowers
4_60,Make Clove Oil - Gathering Your Ingredients and Supplies,Buy cloves at your local health food store, Get a bottle of organic extra virgin olive oil," Find a dark, sanitized glass jar to keep the oil in", Use cheesecloth or a coffee filter to strain the oil
4_61,Care for a Hedgehog with Wobbly Hedgehog Syndrome - Seeking Veterinary Care,Recognize the symptoms of Wobbly Hedgehog Syndrome, Find a vet with experience treating exotic animals, Get a diagnosis, Discuss a care plan with your vet
4_62,Remove Wrinkles from Leather Jackets - Steaming the Jacket,Place the jacket on a hanger, Turn on your shower, Hang the coat and shower, Wear the jacket
4_63,Make a Temporary Tattoo Last Longer - Preparing Your Skin,Cleanse the spot you plan to tattoo, Exfoliate the area before the temporary tattoo is applied, Choose an area where the skin won't constantly be moving or flexing or coming into contact with oils and other substances, Shave the area before the temporary tattoo is applied
4_64,Plant Seeds in a Basic Seed Tray - Caring for Your Seedlings,Cover the tray with plastic wrap, Fill the flat tray with a 2 inch (13 mm) of distilled water, Store the tray in a warm area, Move the tray to a sunlit area once seedlings sprout and uncover them
4_65,Create Course Content for a MILPA Course - Preview and save the changes made to media lecture,Verify additions to media lecture video, Check the Media Lecture status, Save the Media Lecture, Add keywords (optional)
4_66,Feather Your Hair - Prepping Your Hair,Learn what feathering is, Have your hair cut, Wash and part your hair, Dry your hair and apply product as needed
4_67,Make Aspirin if You're Lost in the Woods - Gathering Ingredients,Learn which types of willow trees contain the most salicylic acid, Look for a white willow tree first, Keep in mind that any willow tree will do, Harvest some willow bark
4_68,Sell Crafts Online Easily - Launch Your Website,Purchase a domain that reflects your business name, Set up a website or simple blog to link to your new Etsy and ArtFire stores and vice versa, Include a contact form so that buyers can reach you for questions and special order requests, Tell the story about your crafts to sell crafts online easily
4_69,Make a Care Package for a Long Distance Partner - Assembling the Care Package,Find an attractive box, Decorate the interior of the box, Store your items carefully, Mail the package
4_70,Open XML - Using a Text Editor,Find the XML file you want to open," Right-click the XML file and select ""Open With",""" Select ""Notepad"" (Windows) or ""TextEdit"" (Mac)", Interpret the text on the screen
