process_id,process_name,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8
8_14,Cook Diced Beef - Sautéing Diced Beef,Remove the fat from your meat, Slice the meat into diced cubes," Mix your diced beef with flour, salt, and pepper in a medium-sized mixing bowl", Heat oil on the skillet and cook your beef in batches, Check to see that your meat is properly cooked, Create your seasoning, Warm your diced beef, Pair your beef with your favorite sides
8_15,Make a Camo Cake - Baking the Cake,Preheat the oven according to the temperature on the boxed mix, Grease the cake pans and line them with parchment paper, Prepare the boxed cake mix following the instructions on the back, Divide the cake batter evenly between 4 bowls," Stir green, brown, and black gel food coloring into the divided batter", Alternate spooning different colors of batter into lightly greased pans, Bake the cakes in a pre-heated oven according to package directions, Allow the cakes to cool before removing them from the pans
8_16,Go to Sleep Fast for Kids - Starting a Bedtime Routine,Plan to start your bedtime routine about 30 to 60 minutes before bedtime, Take a warm bath, Put on pajamas, Take care of other personal needs, Play some soothing music, Dim the lights, Climb into bed, Talk quietly or read a story
8_17,Diagnose a Fistula - Getting a Medical Diagnosis,Make an appointment to see your primary care physician, Let your doctor perform a physical, Consent to imaging tests," Get a colonoscopy, if your doctor recommends it"," Provide blood samples, if needed", Get a double-dye or blue dye test for vaginal fistulas, Submit to any other recommended tests, Discuss your treatment options
8_18,Make a Paper Hat - Making a Sailor or Alpine Hat,Crease a rectangular sheet of paper down the middle, Fold the paper in half widthwise, Fold the top corners to the center crease, Fold 1 of the flaps along the bottom edge up, Fold the brim inwards if it is too wide for you, Flip the paper over and fold the second flap up too," Tape the corners of the brim, if desired", Open the base of the hat to put it on
8_19,Check Traffic - Checking Traffic with Google Maps,Open Google Maps on your device, Type in your destination, Click “Directions” and enter your starting point, Select “Menu” if you are using the Google Maps website, Tap “Layers” if you are using an app, Select “Traffic,"” After you click “Menu” or “Layers,” a set of options will appear, such as Transit, Traffic, Satellite, Terrain, and Biking", Choose the route that Google marks as the fastest
8_20,Prune Walnut Trees - Deciding on Tools,Use garden shears to cut branches up to 2 in (5,1 cm) thick, Remove branches with a hand saw if they are 2–6 in (5,1–15,2 cm) thick," Use a chainsaw to remove large, thick branches over 6 in (15 cm) thick", Climb a ladder or forklift to help you reach branches on tall trees, Hire a professional if you have a very large walnut tree
8_21,Hide Your Profile Picture on Facebook - Using a Computer,Open Facebook in your internet browser, Click your profile picture or name on the top-left, Click the Photos tab on your profile page, Click the Albums tab on the Photos page, Click the Profile Pictures album, Click the picture you want to hide, Click the tiny globe icon below your name on the top-right, Select Only me on the drop-down menu
8_22,Hang Floating Shelves - Installing Cleats,Build your own floating shelves so that they’re hollow, Decide where to install the cleat by locating the studs, Cut a 2x2 piece of wood long enough to fit inside your floating shelves, Use screws to secure the cleat to the wall, Check to make sure the shelf is even before tightening the screws," Add an additional 2x2 section of wood for wide shelves, if desired", Push the shelf onto the cleat, Secure the shelf to the cleat with nails or screws
8_23,Make a Balloon Pet - Balloon stress relief pet,Make a stress relief pet that will last a little longer than the other projects suggested in this article, Choose a balloon color, Stretch the open end of the balloon a bit, Funnel in the filling for the balloon, Knot the balloon, Decorate the balloon pet, Add hair, Done
8_24,Buy Postage Online - Purchasing Postage Labels Online with Stamps.com,Create a Stamps,com account, Download the Stamps,com software, Choose a delivery address, Enter the item’s weight, Choose a postage service, Pay and print labels
8_25,Create a Fillable PDF - Editing Form Fields,Click the Tools menu and select Prepare Form, Edit an existing text field, Click the Text Field tool to add a new field, Click the location where you'd like to add a text field," Type a name for the field into the ""Field Name"" box", Click All Properties to access the field's editing tools, Edit the text field," Add buttons, menus, and other options"
8_26,Create a Macaron Cake - Assembling the Cake,Place the cooled cake disk onto a serving plate," Prepare the frosting in a cold, metal bowl", Place the frosting into a piping bag fitted with a star-shaped tip, Pipe stars onto the disk, Place the ring on top, Pipe more stars around the ring, Fill the center of the ring with sliced strawberries, Serve the cake
