pair_id,process,step
110,Get a Dog to Listen - Using a Dog’s Name to Get Its Attention,Praise dog when he gives you his attention in excited tone
111,Get a Dog to Listen - Using a Dog’s Name to Get Its Attention,no
112,Get a Dog to Listen - Using a Dog’s Name to Get Its Attention,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
113,Get a Dog to Listen - Using a Dog’s Name to Get Its Attention,good
114,Get a Dog to Listen - Using a Dog’s Name to Get Its Attention,no
115,Undo a Bra One Handed - Familiarizing Yourself with a Bra,Put the bra on
116,Undo a Bra One Handed - Familiarizing Yourself with a Bra,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
117,Undo a Bra One Handed - Familiarizing Yourself with a Bra,no
118,Undo a Bra One Handed - Familiarizing Yourself with a Bra,no
119,Undo a Bra One Handed - Familiarizing Yourself with a Bra,good
120,Hide a Lip Piercing from Parents or Bosses - Concealing Getting the Piercing,Please observe your company's rules on whether or not the use of Piercing is allowed.
121,Hide a Lip Piercing from Parents or Bosses - Concealing Getting the Piercing,step _ 4 provide a missing optional step that could be part of the process but not essential?    step _ 5  na
122,Hide a Lip Piercing from Parents or Bosses - Concealing Getting the Piercing,Research successful attempts to hide lip piercing aside from the clear jewelry
123,Hide a Lip Piercing from Parents or Bosses - Concealing Getting the Piercing,YES
124,Hide a Lip Piercing from Parents or Bosses - Concealing Getting the Piercing,good
125,Peel a Kiwi - Peeling kiwifruit with a spoon,"One should wash Kiwi before cut off both ends ,"
126,Peel a Kiwi - Peeling kiwifruit with a spoon,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
127,Peel a Kiwi - Peeling kiwifruit with a spoon,NO
128,Peel a Kiwi - Peeling kiwifruit with a spoon,"Some people prefer to peel the kiwi first and then slice it. But, the easiest way to enjoy your kiwifruit would be to leave the skins on."
129,Peel a Kiwi - Peeling kiwifruit with a spoon,no
130,Get Rid of Spiders in the House - Verified Pest Control Methods,GOOD
131,Get Rid of Spiders in the House - Verified Pest Control Methods,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
132,Get Rid of Spiders in the House - Verified Pest Control Methods,no
133,Get Rid of Spiders in the House - Verified Pest Control Methods,good
134,Get Rid of Spiders in the House - Verified Pest Control Methods,no
135,Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
136,Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme,Make sure your theme and colour scheme are compatible
137,Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme,no
138,Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme,Look at the Big Picture.
139,Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme,Choose a theme and color scheme that is compatible with the colors in your other main living areas.
140,Hang Your Phone While Charging It - Hanging Your Phone by Its Cord,GOOD
141,Hang Your Phone While Charging It - Hanging Your Phone by Its Cord,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
142,Hang Your Phone While Charging It - Hanging Your Phone by Its Cord,"You never know when one of us may be moving phone cords around, ... hook right next to the outlet, to hang your holder from while it's ..."
143,Hang Your Phone While Charging It - Hanging Your Phone by Its Cord,good
144,Hang Your Phone While Charging It - Hanging Your Phone by Its Cord,no
145,Measure Helmet Size - Trying on a Helmet,Shake head side to side to note helmet movement
146,Measure Helmet Size - Trying on a Helmet,Measure the head size to choose the proper helmet.
147,Measure Helmet Size - Trying on a Helmet,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
148,Measure Helmet Size - Trying on a Helmet,"The best place to measure for helmet sizing is two finger widths just above the eyebrows, directly above the ears and around the widest area at the back of your head. When measuring, the measuring tape should be nearly skin tight without applying constricting pressure."
149,Measure Helmet Size - Trying on a Helmet,measure the head circumference
150,Create MP3 Files from Wikipedia Articles Using Pediaphon - Setting Up the Article to Covert,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
151,Create MP3 Files from Wikipedia Articles Using Pediaphon - Setting Up the Article to Covert,Choose the country you are in.
152,Create MP3 Files from Wikipedia Articles Using Pediaphon - Setting Up the Article to Covert,Spoken articles make Wikipedia content available to those who can ... generate MP3 audio files and podcasts of Wikipedia articles in different languages.
153,Create MP3 Files from Wikipedia Articles Using Pediaphon - Setting Up the Article to Covert,no
154,Create MP3 Files from Wikipedia Articles Using Pediaphon - Setting Up the Article to Covert,no
155,Clean Your Dog's Toothbrush - Disinfecting the Toothbrush,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
156,Clean Your Dog's Toothbrush - Disinfecting the Toothbrush,"Just squeeze some dog toothpaste in between the bristles, which are specially positioned to scrub a dog's teeth. Clean the bone either by hand or in the dishwasher before and after use, so residue doesn't collect on the rubber."
157,Clean Your Dog's Toothbrush - Disinfecting the Toothbrush,Add lemon juice to the water
158,Clean Your Dog's Toothbrush - Disinfecting the Toothbrush,Allow the brush to dry completely.
159,Clean Your Dog's Toothbrush - Disinfecting the Toothbrush,good
160,Find the Flashlight on an iPhone - Using Control Center,One should swipe up from the bottom edge of the screen to open Control Center on your iPhone.
161,Find the Flashlight on an iPhone - Using Control Center,NO
162,Find the Flashlight on an iPhone - Using Control Center,STEP -4  provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
163,Find the Flashlight on an iPhone - Using Control Center,Hold the flashlight icon to open the option for adjusting the brightness.
164,Find the Flashlight on an iPhone - Using Control Center,no
165,Make Chocolate Babka - Making the Filling,NO
166,Make Chocolate Babka - Making the Filling,"You will need a pan, oven, and heatproof bowl in order to make the filling."
167,Make Chocolate Babka - Making the Filling,"This chocolate babka is made of a rich brioche dough and a rich, ... Usually, when I want to follow a recipe, I end up making so many ..."
168,Make Chocolate Babka - Making the Filling,Fill a pot with water and place the heatproof bowl atop the water.
169,Make Chocolate Babka - Making the Filling,good
170,Give a Thumbs Up for an Edit on wikiHow - Giving Someone a Thumbs Up in Recent Changes Patrol,GOOD
171,Give a Thumbs Up for an Edit on wikiHow - Giving Someone a Thumbs Up in Recent Changes Patrol,NO
172,Give a Thumbs Up for an Edit on wikiHow - Giving Someone a Thumbs Up in Recent Changes Patrol,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
173,Give a Thumbs Up for an Edit on wikiHow - Giving Someone a Thumbs Up in Recent Changes Patrol,Look at edits on wiki how
174,Give a Thumbs Up for an Edit on wikiHow - Giving Someone a Thumbs Up in Recent Changes Patrol,Going back to double check.
175,Sharpen a Swiss Army Knife - Finishing Up,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
176,Sharpen a Swiss Army Knife - Finishing Up,Open the knife
177,Sharpen a Swiss Army Knife - Finishing Up,Select the proper coarseness for your sharpening stone. ...
178,Sharpen a Swiss Army Knife - Finishing Up,no
179,Sharpen a Swiss Army Knife - Finishing Up,no
180,Quickly Make an Alcoholic Party Punch - Classic Sangria,GOOD
181,Quickly Make an Alcoholic Party Punch - Classic Sangria,Cut up fruit
182,Quickly Make an Alcoholic Party Punch - Classic Sangria,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP- 5 NA
183,Quickly Make an Alcoholic Party Punch - Classic Sangria,a flavor is pistachio in ice cream.
184,Quickly Make an Alcoholic Party Punch - Classic Sangria,good
185,Print Wirelessly from an iPad with HP Eprint App - Linking a Printer,NO
186,Print Wirelessly from an iPad with HP Eprint App - Linking a Printer,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
187,Print Wirelessly from an iPad with HP Eprint App - Linking a Printer,the iPad settings. Click the Settings app icon and click Wi-Fi on the top left side of the screen. ...
188,Print Wirelessly from an iPad with HP Eprint App - Linking a Printer,Step 4. click link to printer and print.
189,Print Wirelessly from an iPad with HP Eprint App - Linking a Printer,Turn on bluetooth/turn on wifi connections on printer
190,Row on a Rowing Machine - Completing the Movement,Warm up your body properly so you don't have physical problems before starting.
191,Row on a Rowing Machine - Completing the Movement,NO
192,Row on a Rowing Machine - Completing the Movement,Practice  Angle arms
193,Row on a Rowing Machine - Completing the Movement,"The rower stroke is simple but exposing in that it truly requires the ... show you how to maximize your training, making time spent on the machine work for ..."
194,Row on a Rowing Machine - Completing the Movement,good
195,Use an Analog Watch as a Compass - In the Northern Hemisphere,GOOD
196,Use an Analog Watch as a Compass - In the Northern Hemisphere,Tap the glass to make sure needle not stuck.
197,Use an Analog Watch as a Compass - In the Northern Hemisphere,no
198,Use an Analog Watch as a Compass - In the Northern Hemisphere,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
199,Use an Analog Watch as a Compass - In the Northern Hemisphere,good
200,Do a Pour Painting - Finishing Your Painting,NO
201,Do a Pour Painting - Finishing Your Painting,STEP -4 provide a missing optional step that could be part of the process but not essential?    STEP -5 NA
202,Do a Pour Painting - Finishing Your Painting,Paintbrush to apply the protection Finish. Silicone makeup sponge for applying varnish.
203,Do a Pour Painting - Finishing Your Painting,no
204,Do a Pour Painting - Finishing Your Painting,good
205,Lower a Varidesk - Using a Push-Button Electric Model,no
206,Lower a Varidesk - Using a Push-Button Electric Model,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
207,Lower a Varidesk - Using a Push-Button Electric Model,Verify that the desk level is now comfortable for you and adjust if necessary
208,Lower a Varidesk - Using a Push-Button Electric Model,no
209,Lower a Varidesk - Using a Push-Button Electric Model,good
210,Connect a HyperX Cloud Headset - Connecting to Mobile Device,NO
211,Connect a HyperX Cloud Headset - Connecting to Mobile Device,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
212,Connect a HyperX Cloud Headset - Connecting to Mobile Device,"Cloud MIX is the perfect headset for all your audio needs. In wired mode, it is compatible with PC, PS4™, Xbox One™4, Mac®, Mobile5, Nintendo Switch™, VR6 devices, and other platforms with 3.5mm ports."
213,Connect a HyperX Cloud Headset - Connecting to Mobile Device,NO
214,Connect a HyperX Cloud Headset - Connecting to Mobile Device,no
215,Hack Lanschool - Using LinuxLive USB,Download LinuxLive USB Creator from linuxliveusb.com
216,Hack Lanschool - Using LinuxLive USB,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
217,Hack Lanschool - Using LinuxLive USB,Wait for  computer to restart
218,Hack Lanschool - Using LinuxLive USB,no
219,Hack Lanschool - Using LinuxLive USB,good
220,Have Assault Charges Dropped - Taking Preliminary Steps,NO
221,Have Assault Charges Dropped - Taking Preliminary Steps,no
222,Have Assault Charges Dropped - Taking Preliminary Steps,NO
223,Have Assault Charges Dropped - Taking Preliminary Steps,NO
224,Have Assault Charges Dropped - Taking Preliminary Steps,NO
225,Calculate the Volume of a Cube - Finding Volume from Surface Area,NO
226,Calculate the Volume of a Cube - Finding Volume from Surface Area,no
227,Calculate the Volume of a Cube - Finding Volume from Surface Area,NO
228,Calculate the Volume of a Cube - Finding Volume from Surface Area,no
229,Calculate the Volume of a Cube - Finding Volume from Surface Area,Set up the formula for surface area of a cube.
230,Get a Dog to Stop Drinking from the Toilet - Training Your Dog,no
231,Get a Dog to Stop Drinking from the Toilet - Training Your Dog,no
232,Get a Dog to Stop Drinking from the Toilet - Training Your Dog,no
233,Get a Dog to Stop Drinking from the Toilet - Training Your Dog,NO
234,Get a Dog to Stop Drinking from the Toilet - Training Your Dog,no
235,Answer What Interests You About This Job - Showing Why You Like the Company,no
236,Answer What Interests You About This Job - Showing Why You Like the Company,no
237,Answer What Interests You About This Job - Showing Why You Like the Company,NO
238,Answer What Interests You About This Job - Showing Why You Like the Company,no
239,Answer What Interests You About This Job - Showing Why You Like the Company,no
240,Connect Jambox to Mac - Turning On Bluetooth on your Mac,no
241,Connect Jambox to Mac - Turning On Bluetooth on your Mac,no
242,Connect Jambox to Mac - Turning On Bluetooth on your Mac,NO
243,Connect Jambox to Mac - Turning On Bluetooth on your Mac,NO
244,Connect Jambox to Mac - Turning On Bluetooth on your Mac,no
245,Apply for a Utility Patent - Evaluating Your Invention's Patentability,NO
246,Apply for a Utility Patent - Evaluating Your Invention's Patentability,no
247,Apply for a Utility Patent - Evaluating Your Invention's Patentability,NO
248,Apply for a Utility Patent - Evaluating Your Invention's Patentability,no
249,Apply for a Utility Patent - Evaluating Your Invention's Patentability,NO
250,Cover Dining Room Chairs - Covering Chairs with Store-Bought Slipcovers,Count the number of chairs you need to cover
251,Cover Dining Room Chairs - Covering Chairs with Store-Bought Slipcovers,NO
252,Cover Dining Room Chairs - Covering Chairs with Store-Bought Slipcovers,NO
253,Cover Dining Room Chairs - Covering Chairs with Store-Bought Slipcovers,no
254,Cover Dining Room Chairs - Covering Chairs with Store-Bought Slipcovers,NO
255,Store Collard Greens - Storing Fresh Collard Greens,NO
256,Store Collard Greens - Storing Fresh Collard Greens,no
257,Store Collard Greens - Storing Fresh Collard Greens,NO
258,Store Collard Greens - Storing Fresh Collard Greens,no
259,Store Collard Greens - Storing Fresh Collard Greens,no
260,Keep a Pet Snail - Making a Habitat,ensure snail has adequate food and water
261,Keep a Pet Snail - Making a Habitat,no
262,Keep a Pet Snail - Making a Habitat,NO
263,Keep a Pet Snail - Making a Habitat,NO
264,Keep a Pet Snail - Making a Habitat,no
265,Make Sweet Curry Powder,no
266,Make Sweet Curry Powder,NO
267,Make Sweet Curry Powder,Get ingredients
268,Make Sweet Curry Powder,no
269,Make Sweet Curry Powder,no
270,Toast Sunflower Seeds - Stovetop Toasting,NO
271,Toast Sunflower Seeds - Stovetop Toasting,NO
272,Toast Sunflower Seeds - Stovetop Toasting,add water
273,Toast Sunflower Seeds - Stovetop Toasting,no
274,Toast Sunflower Seeds - Stovetop Toasting,no
275,Get Your Site Indexed in Live Search,NO
276,Get Your Site Indexed in Live Search,NO
277,Get Your Site Indexed in Live Search,NO
278,Get Your Site Indexed in Live Search,no
279,Get Your Site Indexed in Live Search,no
280,Perform a Dihybrid Cross Using the Forked‐Line Method - Setting Up the Problem,no
281,Perform a Dihybrid Cross Using the Forked‐Line Method - Setting Up the Problem,NO
282,Perform a Dihybrid Cross Using the Forked‐Line Method - Setting Up the Problem,NO
283,Perform a Dihybrid Cross Using the Forked‐Line Method - Setting Up the Problem,no
284,Perform a Dihybrid Cross Using the Forked‐Line Method - Setting Up the Problem,"First, draw a large square and divide it into 4 equal squares."
285,Calculate Bond Discount Rate - Calculating the Present Value of the Bond's Principal,NO
286,Calculate Bond Discount Rate - Calculating the Present Value of the Bond's Principal,NO
287,Calculate Bond Discount Rate - Calculating the Present Value of the Bond's Principal,NO
288,Calculate Bond Discount Rate - Calculating the Present Value of the Bond's Principal,NO
289,Calculate Bond Discount Rate - Calculating the Present Value of the Bond's Principal,no
290,Play With Your Hermit Crab - Handling Your Hermit Crab,NO
291,Play With Your Hermit Crab - Handling Your Hermit Crab,Take pictures of the hermit crab
292,Play With Your Hermit Crab - Handling Your Hermit Crab,NO
293,Play With Your Hermit Crab - Handling Your Hermit Crab,keep it or maintain it as normal cold
294,Play With Your Hermit Crab - Handling Your Hermit Crab,no
295,Be a Good Hamster Owner (for Kids) - Cleaning Your Hamster’s Cage,NO
296,Be a Good Hamster Owner (for Kids) - Cleaning Your Hamster’s Cage,no
297,Be a Good Hamster Owner (for Kids) - Cleaning Your Hamster’s Cage,NO
298,Be a Good Hamster Owner (for Kids) - Cleaning Your Hamster’s Cage,no
299,Be a Good Hamster Owner (for Kids) - Cleaning Your Hamster’s Cage,no
300,Apply for a Job in Canada - Applying and Interviewing,NO
301,Apply for a Job in Canada - Applying and Interviewing,no
302,Apply for a Job in Canada - Applying and Interviewing,NO
303,Apply for a Job in Canada - Applying and Interviewing,NO
304,Apply for a Job in Canada - Applying and Interviewing,first of all Update your CV and then Choose Which Companies You Want to Apply for
305,Dehydrate Citrus Fruit - Cleaning and Slicing the Citrus,NO
306,Dehydrate Citrus Fruit - Cleaning and Slicing the Citrus,no
307,Dehydrate Citrus Fruit - Cleaning and Slicing the Citrus,no
308,Dehydrate Citrus Fruit - Cleaning and Slicing the Citrus,NO
309,Dehydrate Citrus Fruit - Cleaning and Slicing the Citrus,no
310,Get Amaryllis to Rebloom - Caring for Amaryllis in Summer,NO
311,Get Amaryllis to Rebloom - Caring for Amaryllis in Summer,NO
312,Get Amaryllis to Rebloom - Caring for Amaryllis in Summer,NO
313,Get Amaryllis to Rebloom - Caring for Amaryllis in Summer,no
314,Get Amaryllis to Rebloom - Caring for Amaryllis in Summer,NO
315,Make Banana Walnut Cake Pops - Decorating the Cake Balls,Crack walnuts up
316,Make Banana Walnut Cake Pops - Decorating the Cake Balls,no
317,Make Banana Walnut Cake Pops - Decorating the Cake Balls,no
318,Make Banana Walnut Cake Pops - Decorating the Cake Balls,NO
319,Make Banana Walnut Cake Pops - Decorating the Cake Balls,no
320,Hide Toolbars - Hiding Toolbars in Google Chrome,no
321,Hide Toolbars - Hiding Toolbars in Google Chrome,NO
322,Hide Toolbars - Hiding Toolbars in Google Chrome,NO
323,Hide Toolbars - Hiding Toolbars in Google Chrome,no
324,Hide Toolbars - Hiding Toolbars in Google Chrome,Remove the check mark next to “Enabled” for each toolbar you want hidden
325,Use Fashion Tape - Attaching the Tape,no
326,Use Fashion Tape - Attaching the Tape,NO
327,Use Fashion Tape - Attaching the Tape,NO
328,Use Fashion Tape - Attaching the Tape,NO
329,Use Fashion Tape - Attaching the Tape,no
330,Make Dr. Pepper - Shortcut Dr Pepper,NO
331,Make Dr. Pepper - Shortcut Dr Pepper,NO
332,Make Dr. Pepper - Shortcut Dr Pepper,no
333,Make Dr. Pepper - Shortcut Dr Pepper,NO
334,Make Dr. Pepper - Shortcut Dr Pepper,no
335,Wind a Grandfather Clock - Winding a Chain-Wound Clock,NO
336,Wind a Grandfather Clock - Winding a Chain-Wound Clock,NO
337,Wind a Grandfather Clock - Winding a Chain-Wound Clock,no
338,Wind a Grandfather Clock - Winding a Chain-Wound Clock,NO
339,Wind a Grandfather Clock - Winding a Chain-Wound Clock,no
340,Collect Sperm for Analysis - Ensuring an Accurate Analysis,NO
341,Collect Sperm for Analysis - Ensuring an Accurate Analysis,NO
342,Collect Sperm for Analysis - Ensuring an Accurate Analysis,no
